ID,Charactor,cantonesePhonetic
1472,踆,cyun1
1473,刌,cyun2
1474,忖,cyun2
1475,寸,cyun3
1476,吋,cyun3
1477,搓,co1
1478,瑳,co1
1479,磋,co1
1480,撮,cyut3
1481,蹉,co1
1482,醝,co4
1483,髊,ci2
1484,嵯,co1
1485,痤,co4
1486,矬,co4
1487,鹾,co4
1488,脞,co2
1489,剉,co3
1490,剒,cok3
1491,厝,cou3
1492,挫,co3
1493,莝,co3
1494,措,cou3
1495,锉,co3
1496,蓌,co3
1497,错,co3
1498,错,cok3
1499,错,cou3
1500,咑,daak1
1501,哒,daat6
1502,耷,daap3
1503,畣,daap3
1504,搭,daap3
1505,嗒,taap3
1506,褡,daap3
1507,鎝,saap3
1508,达,daat6
1509,达,taat3
1510,呾,daat3
1511,妲,taan2
1512,妲,daat3
1513,怛,daat3
1514,沓,daap6
1515,羍,taat3
1516,荅,daap3
1517,荙,daat6
1518,匒,daap3
1519,笪,daat3
1520,答,daap3
1521,跶,taat3
1522,瘩,daap3
1523,靼,daat3
1524,鞑,taat3
1525,繨,daat6
1526,鎉,taap3
1527,鐽,daat6
1528,打,daa1
1529,打,daa2
1530,大,daai6
1531,呆,daai1
1532,呆,ngoi4
1533,呔,taai1
1534,歹,daai2
1535,歹,aat3
1536,傣,daai2
1537,傣,taai3
1538,代,doi6
1539,汏,daai6
1540,轪,daai6
1541,岱,doi6
1542,绐,doi6
1543,迨,doi6
1544,带,daai3
1545,待,doi6
1546,怠,doi6
1547,怠,toi5
1548,殆,doi6
1549,殆,toi5
1550,玳,doi6
1551,贷,taai3
1552,贷,tik1
1553,埭,dai6
1554,埭,doi6
1555,袋,doi6
1556,逮,dai6
1557,逮,doi6
1558,叇,doi6
1559,戴,daai3
1560,黛,doi6
1561,蹛,daai3
1562,蹛,zai6
1563,襶,daai3
1564,襶,de2
1565,丹,daan1
1566,单,daan1
1567,单,sin4
1568,单,sin6
1569,担,daam1
1570,担,daam3
1571,眈,daam1
1572,耽,daam1
1573,郸,daan1
1574,聃,daam1
1575,酖,daam1
1576,酖,zam6
1577,殚,daan1
1578,瘅,daan3
1579,匰,daan1
1580,箪,daan1
1581,儋,daam1
1582,襌,daan1
1583,胆,daam2
1584,疸,taan2
1585,紞,daam2
1586,掸,daan6
1587,掸,sin6
1588,亶,taan2
1589,黕,dam2
1590,旦,daan3
1591,但,daan6
1592,沊,dam2
1593,诞,daan3
1594,訑,ji4
1595,啖,daam6
1596,弹,daan6
1597,弹,taan4
1598,惮,daan6
1599,淡,daam6
1600,淡,taam5
1601,萏,daam6
1602,蛋,daan6
1603,氮,daam6
1604,蜑,daan6
1605,窞,daam6
1606,僤,daan6
1607,噉,daam6
1608,噉,gam2
1609,髧,daam6
1610,憺,daam6
1611,澹,daam6
1612,澹,taam4
1613,禫,taam5
1614,餤,daam6
1615,餤,taam4
1616,甔,daam1
1617,嚪,daam6
1618,贉,taam5
1619,霮,daam6
1620,当,dong1
1621,当,dong3
1622,珰,dong1
1623,裆,dong1
1624,筜,dong1
1625,艡,dong1
1626,蟷,dong1
1627,挡,dong2
1628,挡,dong3
1629,党,dong2
1630,谠,dong2
1631,欓,dong2
1632,凼,tang6
1633,宕,dong6
1634,砀,dong6
1635,荡,dong6
1636,荡,tong3
1637,菪,dong6
1638,婸,dong6
1639,瓽,dong6
1640,逿,dong6
1641,逿,tong4
1642,潒,dong6
1643,檔,dong2
1644,檔,dong3
1645,璗,dong6
1646,簜,dong6
1647,刀,dou1
1648,叨,dou1
1649,叨,tou1
1650,忉,dou1
1651,忉,tou1
1652,氘,dou1
1653,舠,dou1
1654,鱽,dou1
1655,捯,dou3
1656,导,dou6
1657,岛,dou2
1658,倒,dou2
1659,倒,dou3
1660,捣,dou2
1661,祷,dou2
1662,祷,tou2
1663,禂,tou2
1664,壔,dou2
1665,蹈,dou6
1666,蹈,tou1
1667,到,dou3
1668,悼,dou6
1669,焘,dou6
1670,焘,tou4
1671,盗,dou6
1672,道,dou3
1673,道,dou6
1674,稻,dou6
1675,翿,dou6
1676,翿,tou4
1677,纛,dou6
1678,纛,duk6
1679,得,dak1
1680,德,dak1
1681,的,dik1
1682,扽,dan3
1683,扽,dan6
1684,灯,dang1
1685,登,dang1
1686,豋,dang1
1687,簦,dang1
1688,蹬,dang6
1689,等,dang2
1690,戥,dang2
1691,戥,dang6
1692,邓,dang6
1693,凳,dang3
1694,墱,dang3
1695,嶝,dang3
1696,瞪,dang6
1697,瞪,cing4
1698,磴,dang3
1699,镫,dang1
1700,镫,dang3
1701,低,dai1
1702,彽,dai1
1703,袛,zi1
1704,啲,dik1
1705,羝,dai1
1706,堤,tai4
1707,嘀,dik1
1708,滴,dik1
1709,镝,dik1
1710,磾,dai1
1711,鍉,si4
1712,鍉,dik6
1713,鞮,dai1
1714,狄,dik6
1715,籴,dek6
1716,迪,dik6
1717,敌,dik6
1718,涤,dik6
1719,荻,dik6
1720,笛,dek6
1721,觌,dik6
1722,靮,dik1
1723,嫡,dik1
1724,篴,dek6
1725,鸐,tik6
1726,氐,dai1
1727,氐,dai2
1728,厎,zi2
1729,诋,dai2
1730,邸,dai2
1731,阺,dai2
1732,坻,dai2
1733,坻,ci4
1734,底,dai2
1735,弤,dai2
1736,抵,dai2
1737,柢,dai2
1738,砥,dai2
1739,砥,zi2
1740,軧,dai2
1741,地,dei6
1742,地,deng6
1743,弟,dai6
1744,弟,tai5
1745,旳,dik1
1746,杕,dai6
1747,玓,dik1
1748,帝,dai3
1749,娣,dai6
1750,娣,tai5
1751,递,dai6
1752,眱,ji4
1753,第,dai6
1754,菂,dik1
1755,谛,dai3
1756,釱,daai6
1757,釱,dai6
1758,棣,dai6
1759,睇,tai2
1760,缔,dai3
1761,缔,tai3
1762,蒂,dai3
1763,禘,dai3
1764,墬,dei6
1765,碲,dai3
1766,蔕,daai3
1767,蔕,dai3
1768,蝃,dai3
1769,遰,dai6
1770,遰,sai6
1771,甋,dik1
1772,踶,dai6
1773,螮,dai3
1774,嗲,de2
1775,嗲,de3
1776,敁,dim1
1777,掂,dim1
1778,掂,dim6
1779,傎,din1
1780,滇,din1
1781,滇,tin4
1782,瘨,din1
1783,颠,din1
1784,蹎,din1
1785,巅,din1
1786,癫,din1
1787,齻,din1
1788,典,din2
1789,点,dim2
1790,碘,din2
1791,蒧,dim2
1792,踮,dim3
1793,电,din6
1794,佃,din6
1795,佃,tin4
1796,甸,din1
1797,甸,din6
1798,阽,dim3
1799,阽,jim4
1800,坫,dim3
1801,店,dim3
1802,垫,dim3
1803,垫,din3
1804,垫,din6
1805,垫,zin3
1806,扂,dim3
1807,玷,dim3
1808,钿,din6
1809,钿,tin4
1810,惦,dim3
1811,淀,din6
1812,奠,din6
1813,殿,din6
1814,靛,din6
1815,磹,dim3
1816,癜,din6
1817,簟,tim5
1818,驔,tim5
1819,刁,diu1
1820,叼,diu1
1821,凋,diu1
1822,蛁,diu1
1823,琱,diu1
1824,貂,diu1
1825,碉,diu1
1826,鳭,dou1
1827,雕,diu1
1828,雕,tiu1
1829,鲷,diu1
1830,鵰,diu1
1831,屌,diu2
1832,吊,diu3
1833,钓,diu3
1834,调,deu6
1835,调,diu6
1836,调,tiu4
1837,掉,zaau6
1838,掉,deu6
1839,掉,diu6
1840,窵,diu3
1841,藋,dik6
1842,藋,tik1
1843,爹,de1
1844,跌,dit3
1845,苵,dit6
1846,迭,dit6
1847,垤,dit6
1848,绖,dit6
1849,瓞,dit6
1850,眣,dit6
1851,啑,saap3
1852,啑,dip6
1853,谍,dip6
1854,喋,dip6
1855,堞,dip6
1856,惵,dip6
1857,揲,dip6
1858,揲,sit3
1859,耋,dit6
1860,臷,dit6
1861,詄,dit6
1862,叠,daap6
1863,叠,dip6
1864,牒,dip6
1865,嵽,dai3
1866,碟,dip6
1867,蜨,dip6
1868,褋,dip6
1869,艓,dip6
1870,蝶,dip6
1871,蹀,dip6
1872,鲽,dip6
1873,哋,dei6
1874,昳,dit6
1875,丁,zaang1
1876,丁,ding1
1877,仃,ding1
1878,叮,ding1
1879,玎,ding1
1880,疔,deng1
1881,疔,ding1
1882,盯,ding1
1883,钉,deng1
1884,钉,ding1
1885,耵,ding1
1886,酊,ding2
1887,靪,ding1
1888,顶,deng2
1889,顶,ding2
1890,鼎,ding2
1891,薡,ding2
1892,订,deng6
1893,订,ding3
1894,饤,ding3
1895,定,deng6
1896,定,ding6
1897,啶,ding6
1898,椗,ding3
1899,碇,ding3
1900,锭,ding3
1901,丢,diu1
1902,铥,diu1
1903,颩,biu1
1904,东,dung1
1905,冬,dung1
1906,咚,dung1
1907,岽,dung3
1908,氡,dung1
1909,鸫,dung1
1910,涷,dung1
1911,涷,dung3
1912,蝀,dung1
1913,蝀,dung3
1914,董,dung2
1915,懂,dung2
1916,蕫,dung2
1917,动,dung6
1918,冻,dung3
1919,侗,tung4
1920,垌,dung6
1921,峒,dung6
1922,峒,tung4
1923,恫,dung6
1924,恫,tung1
1925,挏,dung6
1926,栋,dung3
1927,栋,dung6
1928,洞,dung6
1929,戙,dong6
1930,戙,dung6
1931,胴,dung6
1932,硐,dung6
1933,湩,dung6
1934,唗,dau1
1935,都,dou1
1936,兜,dau1
1937,斗,dau2
1938,斗,dau3
1939,抖,dau2
1940,枓,zyu2
1941,枓,dau2
1942,钭,dau2
1943,陡,dau2
1944,蚪,dau2
1945,豆,dau6
1946,郖,dau1
1947,郖,dau6
1948,浢,dau6
1949,荳,dau6
1950,逗,dau6
1951,饾,dau6
1952,梪,dau6
1953,脰,dau6
1954,酘,cau4
1955,痘,dau6
1956,窦,dau6
1957,鋀,dau6
1958,阇,dou1
1959,嘟,dou1
1960,督,duk1
1961,毒,duk6
1962,读,duk6
1963,读,dau6
1964,渎,duk6
1965,椟,duk6
1966,牍,duk6
1967,犊,duk6
1968,裻,duk1
1969,蝳,doi6
1970,殰,duk6
1971,皾,duk6
1972,黩,duk6
1973,贕,duk6
1974,韣,duk6
1975,髑,duk6
1976,韇,duk6
1977,讟,duk6
1978,独,duk6
1979,笃,duk1
1980,堵,dou2
1981,赌,dou2
1982,睹,dou2
1983,芏,dou6
1984,妒,dou3
1985,杜,dou6
1986,肚,tou5
1987,度,dok6
1988,度,dou6
1989,秺,dou6
1990,渡,dou6
1991,镀,dou6
1992,蠹,dou3
1993,偳,zeoi3
1994,端,dyun1
1995,端,zyun1
1996,短,dyun2
1997,段,dyun6
1998,断,dyun3
1999,断,dyun6
2000,断,tyun5
2001,缎,dyun6
2002,椴,dyun6
2003,煅,haa6
2004,腶,dyun3
2005,碫,dyun3
2006,锻,dyun3
2007,毈,dyun6
2008,簖,dyun6
2009,堆,deoi1
2010,堆,zeoi1
2011,队,deoi6
2012,对,deoi3
2013,兑,deoi3
2014,兑,deoi6
2015,祋,doi6
2016,怼,deoi6
2017,怼,zeoi6
2018,碓,deoi3
2019,憝,deoi6
2020,薱,deoi6
2021,镦,deoi6
2022,譈,deoi6
2023,吨,deon1
2024,吨,deon6
2025,惇,deon1
2026,敦,deoi1
2027,敦,deon1
2028,墩,dan1
2029,墩,deon1
2030,撉,dan3
2031,礅,deon1
2032,蹲,deon1
2033,蹲,cyun4
2034,盹,deon6
2035,趸,dan2
2036,囤,deon6
2037,囤,tyun4
2038,沌,deon6
2039,炖,dan6
2040,炖,deon6
2041,盾,seon5
2042,盾,teon5
2043,钝,deon6
2044,顿,deon6
2045,顿,duk6
2046,遁,deon6
2047,腞,syun6
2048,遯,deon6
2049,多,do1
2050,咄,deot1
2051,咄,cyut3
2052,哆,ce2
2053,哆,ci2
2054,哆,do1
2055,剟,zyut3
2056,裰,zyut3
2057,夺,dyut6
2058,铎,dok6
2059,铎,nok6
2060,剫,dok6
2061,掇,zyut3
2062,敓,dyut6
2063,敪,zyut3
2064,踱,dok6
2065,朵,do2
2066,朵,doe2
2067,垛,do2
2068,埵,do2
2069,躲,do2
2070,亸,do2
2071,鬌,do6
2072,剁,do2
2073,剁,doek3
2074,陊,do6
2075,陏,do6
2076,柮,deot1
2077,堕,fai1
2078,堕,do6
2079,舵,to5
2080,惰,do6
2081,跺,do2
2082,嶞,do6
2083,墯,fai1
2084,墯,do6
2085,屙,o1
2086,讹,ngo4
2087,吪,ngo4
2088,囮,ngo4
2089,囮,jau4
2090,俄,ngo4
2091,娥,ngo4
2092,峨,ngo4
2093,莪,ngo4
2094,睋,ngo4
2095,锇,ngo4
2096,鹅,ngo4
2097,蛾,ngai5
2098,蛾,ngo4
2099,额,ngaak6
2100,婀,o1
2101,厄,aak1
2102,厄,ak1
2103,阨,ak1
2104,呃,ak1
2105,扼,aak1
2106,扼,ak1
2107,轭,aak1
2108,咢,ngok6
2109,垩,ok3
2110,峉,ngaak6
2111,恶,ngok3
2112,恶,ok3
2113,恶,wu1
2114,恶,wu3
2115,饿,ngo6
2116,谔,ngok6
2117,鄂,ngok6
2118,阏,aat3
2119,阏,jin1
2120,堮,ngok6
2121,崿,ngok6
2122,愕,ngok6
2123,萼,ngok6
2124,軶,aak1
2125,軶,ngaak1
2126,遏,aat3
2127,遏,kit3
2128,搤,ak1
2129,搹,aak1
2130,搹,ngak1
2131,腭,ngok6
2132,詻,ngaak6
2133,锷,ngok6
2134,鹗,ngok6
2135,遻,ng6
2136,頞,aat3
2137,颚,ngok6
2138,噩,ngok6
2139,餩,ak1
2140,鳄,ngok6
2141,櫮,ngok6
2142,奀,ngan1
2143,恩,jan1
2144,峎,gan3
2145,摁,on3
2146,鞥,ang1
2147,儿,ngai4
2148,儿,jan4
2149,儿,ji4
2150,而,ji4
2151,陑,ji4
2152,洏,ji4
2153,耏,ji4
2154,栭,ji4
2155,胹,ji4
2156,唲,waa1
2157,唲,ji4
2158,鸸,ji4
2159,聏,ji4
2160,輀,ji4
2161,鲕,ji4
2162,尒,ji5
2163,尔,ji5
2164,耳,ji5
2165,迩,ji5
2166,洱,ji5
2167,饵,nei6
2168,毦,nei6
2169,珥,nei6
2170,铒,ji5
2171,駬,ji5
2172,薾,ji5
2173,二,ji6
2174,佴,ji6
2175,刵,ji6
2176,咡,ji6
2177,贰,ji6
2178,衈,nei6
2179,樲,ji6
2180,发,faat3
2181,沷,fat3
2182,乏,fat6
2183,伐,fat6
2184,疺,fat6
2185,罚,fat6
2186,茷,fat6
2187,茷,pui3
2188,阀,fat6
2189,筏,fat6
2190,瞂,fat6
2191,法,faat3
2192,砝,faat3
2193,珐,faat3
2194,帆,faan4
2195,犿,faan1
2196,犿,fun1
2197,番,faan1
2198,番,pun1
2199,噃,bo3
2200,墦,faan4
2201,幡,faan1
2202,旛,faan1
2203,翻,faan1
2204,藩,faan4
2205,轓,faan1
2206,颿,faan4
2207,籓,faan1
2208,凡,faan4
2209,矾,faan4
2210,钒,faan4
2211,烦,faan4
2212,笲,faan4
2213,樊,faan4
2214,蕃,faan4
2215,燔,faan4
2216,璠,faan4
2217,膰,faan4
2218,薠,faan4
2219,繁,faan4
2220,羳,faan4
2221,蹯,faan4
2222,瀿,faan4
2223,蘩,faan4
2224,鐇,faan4
2225,蠜,faan4
2226,鷭,faan4
2227,反,faan1
2228,反,faan2
2229,返,faan1
2230,返,faan2
2231,犯,faan6
2232,泛,faan3
2233,泛,faan4
2234,饭,faan6
2235,范,faan6
2236,贩,faan3
2237,贩,faan5
2238,畈,faan3
2239,軓,faan4
2240,梵,faan4
2241,梵,faan6
2242,笵,faan6
2243,軬,faan6
2244,匚,fong1
2245,方,fong1
2246,邡,fong1
2247,坊,fong1
2248,坊,fong4
2249,芳,fong1
2250,枋,fong1
2251,钫,fong1
2252,防,fong4
2253,妨,fong4
2254,房,fong4
2255,肪,fong1
2256,鲂,fong4
2257,仿,fong2
2258,访,fong2
2259,彷,fong2
2260,彷,pong4
2261,纺,fong2
2262,昉,fong2
2263,瓬,fong2
2264,舫,fong2
2265,髣,fong2
2266,放,fong3
2267,飞,fei1
2268,妃,fei1
2269,非,fei1
2270,啡,fei1
2271,婓,fei1
2272,婓,fei4
2273,绯,fei1
2274,菲,fei1
2275,菲,fei2
2276,扉,fei1
2277,蜚,fei1
2278,蜚,fei2
2279,霏,fei1
2280,鲱,fei1
2281,馡,fei1
2282,騑,fei1
2283,肥,fei4
2284,淝,fei4
2285,腓,fei4
2286,蜰,fei4
2287,朏,fei2
2288,匪,fei2
2289,诽,fei2
2290,悱,fei2
2291,斐,fei2
2292,棐,fei2
2293,榧,fei2
2294,翡,fei6
2295,篚,fei2
2296,吠,fai6
2297,废,fai3
2298,沸,fai3
2299,狒,fat1
2300,狒,fei6
2301,肺,fai3
2302,昲,fai1
2303,费,fai3
2304,费,bei3
2305,俷,fai3
2306,剕,fei6
2307,疿,fai3
2308,屝,fei2
2309,痱,fai6
2310,痱,fei2
2311,镄,fai3
2312,癈,fai3
2313,櫠,fai3
2314,分,fan1
2315,分,fan6
2316,吩,fan1
2317,纷,fan1
2318,芬,fan1
2319,氛,fan1
2320,玢,ban1
2321,玢,fan1
2322,翂,fan1
2323,棻,fan1
2324,酚,fan1
2325,雰,fan1
2326,饙,fan1
2327,坟,fan4
2328,妢,fan4
2329,汾,fan4
2330,枌,fan4
2331,羒,fan4
2332,蚡,fan4
2333,棼,fan4
2334,焚,fan4
2335,蒶,fan4
2336,幩,fan4
2337,蕡,fan4
2338,魵,fan4
2339,魵,fan5
2340,豮,fan4
2341,鼢,fan4
2342,羵,fan4
2343,鼖,fan4
2344,轒,fan4
2345,黂,fan4
2346,粉,fan2
2347,瞓,fan3
2348,份,ban1
2349,份,fan6
2350,坋,fan5
2351,坋,fan6
2352,奋,fan5
2353,忿,fan5
2354,忿,fan6
2355,偾,fan5
2356,愤,fan5
2357,粪,fan3
2358,瀵,fan3
2359,丰,fung1
2360,风,fung1
2361,风,fung3
2362,妦,fung1
2363,沣,fung1
2364,沨,fung1
2365,枫,fung1
2366,封,fung1
2367,疯,fung1
2368,峰,fung1
2369,烽,fung1
2370,崶,fung1
2371,葑,fung1
2372,锋,fung1
2373,犎,fung1
2374,蜂,fung1
2375,酆,fung1
2376,蘴,fung1
2377,飌,fung1
2378,麷,fung1
2379,冯,pang4
2380,冯,fung4
2381,夆,fung1
2382,逢,fung4
2383,摓,fung4
2384,缝,fung4
2385,缝,fung6
2386,讽,fung3
2387,覂,fung3
2388,唪,fung2
2389,凤,fung6
2390,奉,fung6
2391,甮,fung6
2392,俸,fung2
2393,赗,fung3
2394,佛,bat6
2395,佛,fat1
2396,佛,fat6
2397,坲,fat6
2398,垺,fu1
2399,垺,pau4
2400,紑,fau4
2401,缶,fau2
2402,否,pei2
2403,否,fau2
2404,缹,fau2
2405,鴀,fau4
2406,夫,fu1
2407,夫,fu4
2408,枎,fu4
2409,肤,fu1
2410,柎,fu1
2411,砆,fu1
2412,胕,fu1
2413,胕,fu4
2414,衭,fu1
2415,衭,fu3
2416,尃,fu1
2417,荴,fu1
2418,趺,fu1
2419,麸,fu1
2420,稃,fu1
2421,跗,fu1
2422,鈇,fu1
2423,鄜,fu1
2424,孵,fu1
2425,敷,fu1
2426,鳺,fu1
2427,巿,fat1
2428,弗,fat1
2429,伏,buk6
2430,伏,fuk6
2431,凫,fu4
2432,刜,fat1
2433,孚,fu1
2434,扶,fu4
2435,芙,fu4
2436,芣,fau4
2437,芾,fai3
2438,芾,fat1
2439,咈,fat6
2440,岪,fat6
2441,帗,fat1
2442,怫,fat6
2443,拂,fat1
2444,服,fuk6
2445,泭,fu1
2446,绂,fat1
2447,绋,fat1
2448,苻,fu4
2449,茀,fat1
2450,俘,fu1
2451,枹,fu1
2452,氟,fat1
2453,洑,fuk6
2454,祓,fat1
2455,罘,fau4
2456,茯,fuk6
2457,郛,fu1
2458,韨,fat1
2459,浮,fau4
2460,莩,piu5
2461,莩,fu1
2462,蚨,fu4
2463,匐,baak6
2464,桴,fu1
2465,涪,fau4
2466,烰,fau4
2467,琈,fau4
2468,符,fu4
2469,笰,fat1
2470,艴,fat1
2471,菔,baak6
2472,菔,fuk6
2473,虙,fuk6
2474,袱,fuk6
2475,幅,fuk1
2476,罦,fu1
2477,罦,fau4
2478,葍,fuk1
2479,福,fuk1
2480,綍,fat1
2481,蜉,fau4
2482,辐,fuk1
2483,榑,fu4
2484,箙,fuk6
2485,幞,buk6
2486,蝠,fuk1
2487,鴔,fuk6
2488,黻,fat1
2489,鵩,fuk6
2490,呒,mou5
2491,呒,fu2
2492,抚,fu2
2493,甫,pou2
2494,甫,pou3
2495,甫,fu2
2496,府,fu2
2497,弣,fu2
2498,拊,fu2
2499,斧,fu2
2500,郙,fu2
2501,俯,fu2
2502,釜,fu2
2503,脯,pou2
2504,脯,fu2
2505,辅,fu6
2506,腑,fu2
2507,滏,fu2
2508,蜅,fu2
2509,腐,fu6
2510,簠,fu2
2511,黼,fu2
2512,父,fu2
2513,父,fu6
2514,讣,fu6
2515,付,fu6
2516,妇,fu5
2517,负,fu6
2518,附,fu6
2519,咐,fu3
2520,咐,fu6
2521,阜,fau6
2522,驸,fu6
2523,复,fuk1
2524,复,fuk6
2525,复,fau6
2526,峊,fau6
2527,祔,fu6
2528,赴,fu6
2529,偩,fu6
2530,副,fu3
2531,蚹,fu6
2532,傅,fu6
2533,富,fu3
2534,赋,fu3
2535,缚,bok3
2536,缚,fok3
2537,腹,fuk1
2538,鲋,fu6
2539,褔,fu3
2540,赙,fu6
2541,蕧,fuk6
2542,蝜,fu6
2543,蝮,fuk1
2544,輹,fuk1
2545,鍑,fuk1
2546,鳆,fuk1
2547,覆,fuk1
2548,馥,fuk1
2549,旮,go1
2550,伽,gaa1
2551,伽,ke4
2552,钆,gaat3
2553,嘎,gaa1
2554,嘎,gaa4
2555,噶,gaa1
2556,尕,gaa1
2557,尬,gaai3
2558,侅,goi1
2559,该,goi1
2560,陔,goi1
2561,垓,goi1
2562,荄,goi1
2563,赅,goi1
2564,祴,goi1
2565,絯,goi1
2566,隑,kei4
2567,隑,goi1
2568,賌,goi1
2569,改,goi2
2570,丐,koi3
2571,钙,koi3
2572,盖,gap3
2573,盖,hap6
2574,盖,goi3
2575,盖,koi3
2576,溉,koi3
2577,戤,koi3
2578,概,koi3
2579,干,kin4
2580,干,gon1
2581,干,gon3
2582,干,hon4
2583,甘,gam1
2584,杆,gon1
2585,杆,gon2
2586,杆,gon3
2587,玕,gon1
2588,肝,gon1
2589,坩,ham1
2590,泔,gam1
2591,柑,gam1
2592,竿,gon1
2593,疳,gam1
2594,酐,gon1
2595,酐,hong5
2596,尴,gaam1
2597,筸,gon2
2598,漧,gon1
2599,鳱,gon1
2600,鳱,hon6
2601,皯,gon2
2602,秆,gon2
2603,赶,gon2
2604,敢,gam2
2605,笴,go2
2606,感,gam2
2607,澉,gam2
2608,橄,gaam3
2609,橄,gam2
2610,簳,gon3
2611,旰,gon3
2612,旰,hon6
2613,矸,gon1
2614,矸,gon3
2615,绀,gam3
2616,凎,gam3
2617,淦,gaam3
2618,淦,gam3
2619,骭,gon3
2620,赣,gam3
2621,赣,gung3
2622,灨,gam3
2623,冈,gong1
2624,刚,gong1
2625,岗,gong1
2626,纲,gong1
2627,肛,gong1
2628,疘,gong1
2629,矼,gong1
2630,矼,hong1
2631,缸,gong1
2632,钢,gong1
2633,钢,gong3
2634,罡,gong1
2635,堈,gong1
2636,釭,gong1
2637,棡,gong3
2638,犅,gong1
2639,堽,gong1
2640,港,gong2
2641,杠,gong1
2642,杠,gong3
2643,杠,lung5
2644,戆,ngong6
2645,戆,zong3
2646,皋,gou1
2647,羔,gou1
2648,高,gou1
2649,睪,jik6
2650,槔,gou1
2651,睾,gou1
2652,膏,gou1
2653,膏,gou3
2654,篙,gou1
2655,糕,gou1
2656,櫜,gou1
2657,鼛,gou1
2658,杲,gou2
2659,搞,gaau2
2660,缟,gou2
2661,槁,gou2
2662,稿,gou2
2663,镐,hou6
2664,告,gou3
2665,告,guk1
2666,诰,gou3
2667,郜,gou3
2668,锆,gou3
2669,暠,gou2
2670,戈,gwo1
2671,圪,ngat6
2672,犵,go1
2673,纥,gat1
2674,纥,hat6
2675,肐,gat1
2676,疙,gat6
2677,哥,go1
2678,胳,gaak3
2679,胳,lok3
2680,袼,gok3
2681,鸽,gaap3
2682,鸽,gap3
2683,割,got3
2684,搁,gok3
2685,歌,go1
2686,鴐,gaa1
2687,挌,gaak3
2688,茖,gaak3
2689,阁,gok3
2690,革,gaak3
2691,革,gaap3
2692,革,gik1
2693,格,gaak3
2694,鬲,gaak3
2695,鬲,lik6
2696,愅,gaak3
2697,葛,got3
2698,蛤,haa4
2699,蛤,gaap3
2700,蛤,gap3
2701,隔,gaak3
2702,嗝,gaak3
2703,塥,gaak3
2704,滆,gaak3
2705,觡,gaak3
2706,搿,gaap3
2707,膈,gaak3
2708,镉,gaak3
2709,鞈,gaap3
2710,韐,gaap3
2711,骼,gaak3
2712,輵,got3
2713,轕,got3
2714,哿,go2
2715,哿,ho2
2716,舸,go2
2717,舸,ho2
2718,个,go3
2719,各,gok3
2720,虼,gat1
2721,硌,gok3
2722,硌,lok6
2723,铬,gok3
2724,给,kap1
2725,根,gan1
2726,跟,gan1
2727,哏,gan1
2728,亘,gang2
2729,艮,gan3
2730,茛,gan3
2731,茛,loeng4
2732,茛,long4
2733,更,gaang1
2734,更,gang1
2735,更,gang3
2736,庚,gang1
2737,浭,gang1
2738,耕,gaang1
2739,赓,gang1
2740,鹒,gang1
2741,緪,gang1
2742,羹,gang1
2743,郠,gang2
2744,哽,ang2
2745,哽,gang2
2746,埂,gang2
2747,挭,gaang3
2748,绠,gang2
2749,耿,gang2
2750,梗,gwaang2
2751,梗,gang2
2752,鲠,gang2
2753,鲠,kang2
2754,堩,gang2
2755,嗰,go3
2756,工,gung1
2757,弓,gung1
2758,公,gung1
2759,功,gung1
2760,攻,gung1
2761,供,gung1
2762,供,gung3
2763,肱,gwang1
2764,宫,gung1
2765,恭,gung1
2766,蚣,gung1
2767,躬,gung1
2768,龚,gung1
2769,塨,gung1
2770,觥,gwang1
2771,廾,jaa6
2772,廾,je6
2773,廾,gung2
2774,巩,gung2
2775,汞,hung6
2776,拱,gung2
2777,唝,gung3
2778,唝,hung2
2779,拲,gung2
2780,栱,gung2
2781,珙,gung2
2782,輁,gung2
2783,共,gung1
2784,共,gung6
2785,贡,gung3
2786,勾,au1
2787,勾,gau1
2788,勾,ngau1
2789,佝,keoi1
2790,沟,gau1
2791,沟,kau1
2792,钩,au1
2793,钩,gau1
2794,钩,ngau1
2795,袧,gau6
2796,缑,gau1
2797,篝,gau1
2798,岣,gau2
2799,狗,gau2
2800,苟,gau2
2801,枸,geoi2
2802,枸,gau2
2803,耇,gau2
2804,笱,gau2
2805,构,gau3
2806,构,kau3
2807,诟,gau3
2808,购,gau3
2809,购,kau3
2810,垢,gau3
2811,姤,gau3
2812,茩,hau6
2813,冓,gau3
2814,够,gau3
2815,媾,gau3
2816,彀,gau3
2817,遘,gau3
2818,雊,gau3
2819,觏,gau3
2820,估,gu2
2821,估,gu3
2822,咕,gu1
2823,姑,gu1
2824,孤,gu1
2825,沽,gu1
2826,柧,gu1
2827,唃,guk1
2828,罛,gu1
2829,鸪,gu1
2830,菇,gu1
2831,菰,gu1
2832,蛄,gu1
2833,蓇,gwat1
2834,觚,gu1
2835,軱,gu1
2836,辜,gu1
2837,酤,gu1
2838,毂,guk1
2839,箍,ku1
2840,箛,gu1
2841,鹘,gwat1
2842,鹘,wat6
2843,古,gu2
2844,扢,gwat1
2845,扢,ngat6
2846,汩,gwat1
2847,诂,gu2
2848,诂,gu3
2849,谷,guk1
2850,谷,juk6
2851,股,gu2
2852,牯,gu2
2853,骨,gwat1
2854,罟,gu2
2855,羖,gu2
2856,钴,gu1
2857,钴,gu2
2858,淈,gwat1
2859,蛊,gu2
2860,蛌,gu2
